id,cluster,center_distance
155344,4,0.9793309
175339,2,0.91154367
72600,4,0.9721295
50614,4,0.9520617
133784,4,0.96240646
235003,0,0.5822903
140723,1,0.9276339
326839,4,0.97142977
467326,5,0.87626535
43669,3,0.81727624
73566,4,0.968
449768,1,0.8623901
404661,2,0.9358199
381713,4,0.94271976
257696,5,0.8615212
187606,4,1.0025709
91515,2,0.9185896
289891,2,0.8042975
412073,5,0.9183784
123746,3,0.86849785
206020,3,0.8850574
345595,2,0.8555326
129227,5,0.83884525
472955,5,0.83930564
17490,4,1.0134364
130002,2,0.8677308
53353,2,0.96422476
105756,5,0.922499
307362,4,0.9978469
51803,1,0.76921636
438263,5,0.9041129
525649,1,0.9086462
115160,2,0.9059493
168222,3,0.8601751
140172,5,0.84366244
305112,4,0.9971404
53481,5,0.91197646
76887,5,0.88055086
392598,5,0.88865334
113197,1,0.9076928
398071,4,0.9669392
66527,4,0.98917246
184890,4,0.9525435
79046,5,0.93392235
356163,5,0.8946343
41673,4,0.9337913
506885,1,0.96307945
277539,4,0.93091315
169487,0,0.968837
317587,4,0.9637357
20624,3,0.8720376
360232,4,0.94593865
246548,4,0.9969323
67446,2,0.9466782
153028,2,0.9788818
172651,4,0.9865529
348952,5,0.86598915
5276,5,0.8702876
140173,4,0.96616465
31184,4,0.9225583
164178,4,0.9461216
289025,4,0.91876394
287502,4,0.9852045
75079,5,0.8750593
147100,5,0.71006304
233317,5,0.6376475
109793,2,1.0105851
291409,5,0.8881838
27275,4,0.98506224
282812,5,0.8701572
311608,5,0.90542305
382234,3,0.8849677
237391,4,0.9421513
266997,4,0.94567925
21916,0,0.79792255
229451,4,0.97401893
204040,3,0.8000458
82287,4,0.95883036
302815,4,0.96768624
311842,1,0.85873383
531148,1,0.9145761
364157,3,0.8695237
411979,5,0.92750376
102832,2,0.98039055
246180,4,0.9349216
224908,0,0.92147595
364761,4,0.9600942
489337,4,0.9991658
262448,0,0.6939632
294427,3,0.86129713
328436,2,0.890003
357228,2,0.81187505
50246,2,0.8911815
400187,5,0.81226397
67421,2,0.8461749
238815,4,0.9613588
240311,2,0.9241321
240314,2,0.9730671
242259,0,0.6593441
315063,4,0.95365053
503440,2,0.899422
124275,5,0.8160972
450534,2,0.9024602
124279,2,0.8427723
400903,2,0.88968354
250900,2,1.0108042
50248,2,0.92513746
219485,2,0.7779879
454763,2,0.8597225
42363,2,0.90501785
160494,2,0.95960075
143942,2,0.80843115
394049,4,0.9350405
221166,5,0.8987542
254267,2,0.87067586
109232,4,0.9362056
275691,5,0.8757224
404233,2,0.99665415
461235,4,1.0002158
107777,5,0.9101656
201094,2,0.94135535
245950,4,0.913651
33561,3,0.8883202
366895,2,0.91076934
376468,0,0.9522956
392368,5,0.92404896
170336,2,0.90029895
471666,4,0.9966074
388578,2,0.8766547
360881,2,0.9113089
461437,2,1.016437
144117,3,0.8435258
431624,4,0.94260526
312406,1,0.8344391
453243,4,1.0098004
79372,0,0.82355857
101260,4,0.9806818
100340,2,0.8890725
104571,3,0.85968906
108955,4,0.9116496
490759,0,0.7861261
105452,4,1.036425
266037,4,1.036425
496213,4,1.031723
271663,0,0.54150856
400243,4,1.0049533
293320,5,0.84849685
260781,4,1.0260026
399828,4,1.029372
501408,0,0.83808595
420062,5,0.89082325
448508,2,0.99174595
181244,1,0.8802946
256464,5,0.6400591
405737,3,0.8123234
315678,4,0.9845417
104927,5,0.8818206
44972,2,0.91456014
122791,0,0.87577987
100051,4,0.9924955
517511,5,0.8667331
43703,2,0.9072511
354010,0,0.92921865
195810,2,0.9571701
66469,1,0.7160055
395471,2,0.8942086
458255,1,0.77486
458467,4,0.9641359
143234,3,0.8507032
19281,2,0.98751265
249457,4,0.9266626
20930,1,0.8959275
246457,1,0.83895624
214264,0,0.8735418
148362,3,0.8364924
77497,3,0.8913323
122497,0,0.72509956
85118,4,0.9906228
416599,2,0.9626128
193899,4,0.9757098
39280,5,0.9626438
203378,3,0.82763994
490284,4,0.9709023
289160,0,0.6391204
513216,2,0.91872525
388669,2,0.86248344
320442,2,0.9371489
182904,4,0.9992917
422611,4,1.0037694
290008,0,0.59595424
427175,1,0.7090539
216014,4,0.9867764
144841,2,0.76885176
4764,2,0.96666145
162657,1,0.6974286
250347,4,0.96824586
313624,4,0.9552345
160776,5,0.909387
104732,2,0.92626745
138700,3,0.898127
17231,5,0.8795166
472957,4,0.98402196
88418,4,0.9433047
106447,4,0.92609984
432997,4,0.98675317
37960,5,0.9293202
104967,1,0.87367654
227420,4,0.9884351
108497,4,0.99686825
305137,4,0.9264224
291796,4,0.9339579
478604,2,1.01693
166483,4,0.9954973
102154,4,0.919371
194068,4,0.93672824
61040,4,0.96562093
138235,4,0.92452526
240747,2,0.70861846
26954,5,0.8688286
383978,4,0.9816548
137992,2,0.87672615
531254,4,1.0316045
262501,0,0.5568026
385415,4,0.95998085
516214,2,0.8334219
362558,4,0.9814435
19294,2,0.93622047
383923,4,0.966011
187040,4,0.9508554
120462,4,0.93433326
136796,2,0.9589069
111625,2,0.8117878
170841,4,0.93009996
220280,4,0.96973705
297466,0,0.6029586
411923,4,0.9449591
132775,4,0.98849374
242513,4,0.9415652
108318,5,0.7114876
88051,2,0.8074307
393489,4,0.93084055
204404,2,0.9197706
60024,4,0.97500056
204393,2,0.8375102
208277,2,0.9453634
159357,3,0.91453797
419880,4,0.9653908
231411,4,0.93834376
152441,4,0.98393506
254521,4,0.9537248
314185,4,0.9703898
102930,4,0.9603192
502982,1,0.91343004
65045,4,0.96396464
128544,2,0.9309872
377194,2,0.98023075
255242,1,0.9108653
301235,1,0.9369615
403839,5,0.9216077
281328,4,0.949488
390745,1,0.8980692
391156,2,0.88688904
459271,5,0.9128436
323063,1,0.9303425
394192,0,1.0031949
294421,5,0.84248656
257111,2,0.91517687
259806,2,0.97625923
300231,4,0.93988067
274469,0,0.6374961
273114,1,0.7375033
432661,4,1.0068895
263058,2,0.8991477
460167,1,0.9603657
276976,4,0.9967188
377279,2,0.9111083
280714,1,0.89560807
281314,4,0.9243085
270302,4,0.94009787
280453,4,0.9708669
482075,4,0.9367932
390750,4,0.94512576
320542,4,0.924263
281147,4,0.9102393
484819,1,0.88367337
269192,2,0.97354037
296176,5,0.6782494
344976,4,0.9953709
416640,2,0.89512056
307065,1,0.8498781
415334,4,1.0046464
388488,4,0.9402489
338331,3,0.672019
187438,4,0.96885717
190279,3,0.874668
42828,4,0.9740467
359316,4,0.92173964
101194,4,0.9409453
440735,3,0.9141939
182867,3,0.82290256
824,0,0.8212234
368280,2,0.84310365
398956,4,0.9465841
474805,4,1.0050296
169968,5,0.93115026
210455,4,1.0058593
186414,2,0.9186134
215973,5,0.91366
119225,4,0.9428353
407166,4,0.91751736
136112,4,0.96365786
215918,4,0.94551533
353419,4,0.98383087
296654,4,0.9728012
114204,4,0.9284553
430737,1,0.86861545
285629,3,0.85556084
166082,4,0.93697673
110646,4,0.9944003
150333,4,0.9496224
33701,4,0.9401555
239647,3,0.8796168
406746,4,0.92118657
106244,5,0.9133895
36072,3,0.8591935
123408,4,0.9689397
277145,4,0.9412463
16263,2,0.95361656
51716,4,0.95538574
79826,2,0.9275815
63069,4,0.97587687
418712,2,0.9044583
131286,4,0.95466864
455051,4,0.94374084
329728,5,0.8537916
112648,4,1.0247072
317798,5,0.8558353
374369,4,1.0264958
200373,2,1.0025201
187309,4,0.9931532
362546,4,1.0071155
81108,4,0.9841449
294521,5,0.8641936
468765,4,0.978306
427261,5,0.8422994
309806,4,1.0109879
21428,4,0.9575926
66404,0,1.0040175
503736,5,0.80628306
200419,2,0.90974206
505748,4,1.0120248
166653,4,0.97238606
525818,2,1.0007138
497554,4,0.9918304
258970,2,0.98992
128027,4,1.0051067
472014,4,1.034428
165096,5,0.6992847
48634,2,0.9272948
46636,4,0.95373523
520809,2,0.84585166
33947,2,0.8197119
130663,4,1.0081509
192033,2,0.87658316
366824,2,0.9246977
318330,2,0.93140554
122817,4,0.9754745
