id,taste_cluster,taste_center_distance
127743,3,0.84503007
368029,13,0.9945229
135933,3,0.8290051
126072,0,0.9102251
20238,0,0.6986017
129377,3,0.8193024
402119,3,0.92285234
289509,2,1.000818
417632,12,0.83531535
151775,14,0.82263035
83703,5,0.86724055
239306,1,0.83165646
89434,13,0.9831321
468112,1,0.83606315
458576,14,0.78219515
146813,14,0.86593026
181106,14,0.66656923
632,14,0.9058984
6652,0,0.88930243
292147,14,0.86145943
221429,14,0.8475258
139353,13,0.98175925
470360,4,0.84828365
418387,2,1.0272211
382300,14,0.78172135
223872,14,0.82053065
218671,3,0.9189073
430121,6,0.819222
268681,3,0.8210508
151328,3,0.8024253
203134,0,0.84915775
436030,14,0.7177532
320924,14,0.78302693
220503,3,0.92014515
336323,6,0.78734684
325137,3,0.8152567
486979,14,0.6957541
22774,3,0.8181826
79425,13,0.9405131
213681,3,0.89102924
121712,10,0.5196144
155344,11,0.596835
175339,3,0.89213306
72600,2,0.97401786
50614,11,0.8382712
