id,rating_mean,rating_count,bayesian_rating
220933,5.0,3,4.816225869274919
220934,4.0,1,4.3603764487915315
220936,4.666666666666667,3,4.616225869274919
220938,4.0,1,4.3603764487915315
220940,5.0,2,4.770282336593649
220941,5.0,1,4.693709782124865
220943,3.6666666666666665,3,4.016225869274919
220946,4.9411764705882355,17,4.899006807703926
220950,3.8,5,4.011589906624942
220951,4.8,5,4.7258756209106565
220952,5.0,1,4.693709782124865
220956,4.375,8,4.40811293463746
220959,5.0,7,4.897903260708288
220962,5.0,1,4.693709782124865
220963,4.5,4,4.513521557729099
220966,5.0,2,4.770282336593649
220968,5.0,1,4.693709782124865
220974,5.0,1,4.693709782124865
220977,5.0,9,4.916466304215873
220979,5.0,1,4.693709782124865
220980,4.55,20,4.549142243017027
220981,3.0,1,4.027043115458198
220984,5.0,9,4.916466304215873
220985,5.0,1,4.693709782124865
220988,4.666666666666667,3,4.616225869274919
220989,4.625,16,4.615618297020811
220991,5.0,2,4.770282336593649
220992,4.5,2,4.520282336593649
220993,4.0,1,4.3603764487915315
220994,5.0,2,4.770282336593649
221000,3.0,1,4.027043115458198
221005,5.0,1,4.693709782124865
221006,4.333333333333333,3,4.4162258692749194
221011,4.5,2,4.520282336593649
221013,4.0,1,4.3603764487915315
221015,4.5,8,4.5081129346374595
221017,4.9,10,4.840094112197883
221021,3.0,1,4.027043115458198
221023,4.555555555555555,9,4.5528299405795085
221036,4.5,2,4.520282336593649
221038,4.0,1,4.3603764487915315
221041,5.0,1,4.693709782124865
221043,5.0,8,4.90811293463746
221044,4.0,4,4.180188224395766
221049,4.222222222222222,9,4.280102667852236
221051,4.9411764705882355,17,4.899006807703926
221052,4.166666666666667,6,4.260141168296824
221053,4.75,4,4.680188224395766
221056,4.0,3,4.216225869274919
221057,4.0,1,4.3603764487915315
221061,5.0,1,4.693709782124865
221063,5.0,2,4.770282336593649
221067,4.0,3,4.216225869274919
221071,3.3333333333333335,3,3.816225869274919
221074,5.0,3,4.816225869274919
221080,5.0,1,4.693709782124865
221081,5.0,1,4.693709782124865
221082,5.0,3,4.816225869274919
221083,3.5,2,4.020282336593649
221085,1.0,1,3.360376448791531
221090,5.0,1,4.693709782124865
221092,4.666666666666667,6,4.635141168296824
221093,5.0,2,4.770282336593649
221094,4.4,5,4.440161335196371
221097,4.0,1,4.3603764487915315
221100,5.0,2,4.770282336593649
221102,3.0,1,4.027043115458198
221105,5.0,2,4.770282336593649
221107,5.0,5,4.8687327637678
221108,4.0,1,4.3603764487915315
221109,5.0,1,4.693709782124865
221110,4.8,5,4.7258756209106565
221115,1.0,1,3.360376448791531
221116,5.0,1,4.693709782124865
221117,4.6,5,4.583018478053513
221119,4.818181818181818,11,4.775471488182661
221122,5.0,5,4.8687327637678
221123,4.833333333333333,6,4.760141168296824
221132,3.3333333333333335,3,3.816225869274919
221135,5.0,1,4.693709782124865
221137,5.0,2,4.770282336593649
221143,5.0,1,4.693709782124865
221144,4.0,1,4.3603764487915315
221149,5.0,1,4.693709782124865
221150,4.6,5,4.583018478053513
221152,4.0,1,4.3603764487915315
221153,4.8,5,4.7258756209106565
221154,3.0,1,4.027043115458198
221156,4.0,1,4.3603764487915315
221159,4.0,1,4.3603764487915315
221161,4.5,2,4.520282336593649
221162,4.833333333333333,6,4.760141168296824
221166,5.0,1,4.693709782124865
221169,2.75,4,3.3468548910624327
221171,5.0,1,4.693709782124865
221175,3.0,1,4.027043115458198
221178,5.0,7,4.897903260708288
221183,4.8,10,4.75676077886455
221184,4.0,1,4.3603764487915315
221185,5.0,2,4.770282336593649
221187,5.0,1,4.693709782124865
221189,5.0,1,4.693709782124865
221194,4.888888888888889,9,4.825557213306781
221195,5.0,1,4.693709782124865
221196,5.0,1,4.693709782124865
221203,5.0,1,4.693709782124865
221204,5.0,3,4.816225869274919
221208,5.0,3,4.816225869274919
221210,5.0,1,4.693709782124865
221213,4.333333333333333,3,4.4162258692749194
221217,4.638888888888889,72,4.636231477653711
221220,4.8,5,4.7258756209106565
221222,5.0,1,4.693709782124865
221223,4.5,2,4.520282336593649
221228,5.0,1,4.693709782124865
221232,4.0,1,4.3603764487915315
221235,4.916666666666667,12,4.862937810455328
221236,4.75,12,4.720080667598185
221240,4.746666666666667,75,4.741313368134735
221249,4.833333333333333,6,4.760141168296824
221250,5.0,1,4.693709782124865
221251,4.0,1,4.3603764487915315
221255,0.0,1,3.027043115458198
221259,4.75,4,4.680188224395766
221260,4.0,2,4.270282336593649
221261,4.0,1,4.3603764487915315
221263,5.0,2,4.770282336593649
221275,4.071428571428571,14,4.130070584148412
221276,4.2,5,4.297304192339228
221278,5.0,2,4.770282336593649
221279,5.0,1,4.693709782124865
221280,4.5,16,4.5045071859096995
221281,3.3333333333333335,3,3.816225869274919
221282,4.777777777777778,9,4.73464812239769
221284,5.0,9,4.916466304215873
221285,5.0,5,4.8687327637678
221286,5.0,2,4.770282336593649
221288,5.0,3,4.816225869274919
221292,4.777777777777778,9,4.73464812239769
221301,3.6,5,3.8687327637677993
221302,4.0,2,4.270282336593649
221303,4.0,2,4.270282336593649
221305,5.0,3,4.816225869274919
221307,4.666666666666667,9,4.643739031488599
221309,5.0,2,4.770282336593649
221311,5.0,1,4.693709782124865
221312,5.0,2,4.770282336593649
221315,4.25,4,4.346854891062432
221318,5.0,2,4.770282336593649
221320,5.0,1,4.693709782124865
221322,5.0,1,4.693709782124865
221324,4.5,4,4.513521557729099
221326,4.0,1,4.3603764487915315
221327,5.0,1,4.693709782124865
221329,4.714285714285714,7,4.675681038486066
221330,4.666666666666667,3,4.616225869274919
221347,5.0,7,4.897903260708288
221349,5.0,4,4.846854891062432
221352,5.0,3,4.816225869274919
221359,5.0,1,4.693709782124865
221360,5.0,2,4.770282336593649
221361,5.0,2,4.770282336593649
221364,4.0,2,4.270282336593649
221366,5.0,1,4.693709782124865
221368,4.2631578947368425,19,4.2895775879226
221369,5.0,1,4.693709782124865
